# BLE fragments with sequence counter and ASCII payload
# Format: source_file | timestamp_ms | seq | total_bytes | payload_after_seq_byte
# Total: 41836 fragments (showing first 5000)

pt30_raw_ble_fragments_active.jsonl | ts=1777050480000 | seq= 48 | len=20 | 'Data: 1,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777050480019 | seq= 49 | len=20 | 'UX1166,99999,65,570'
pt30_raw_ble_fragments_active.jsonl | ts=1777050480038 | seq= 50 | len=20 | '0.000,45.000,9020.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777050480057 | seq= 51 | len=20 | '00,0.70,14.07,04/24'
pt30_raw_ble_fragments_active.jsonl | ts=1777050480076 | seq= 52 | len=20 | '/26,19:28:00,40.850'
pt30_raw_ble_fragments_active.jsonl | ts=1777050480095 | seq= 53 | len=20 | '000,-96.850000,270,'
pt30_raw_ble_fragments_active.jsonl | ts=1777050480114 | seq= 54 | len=20 | '135,7,1200,1.3,4800'
pt30_raw_ble_fragments_active.jsonl | ts=1777050480133 | seq= 55 | len=8 | '0,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777050540000 | seq= 88 | len=141 | 'Data: 1,3AKJHHDR1RSUX1166,99999,65,5700.000,45.000,9020.000,0.70,14.07,04/24/26,19:29:00,40.850000,-96.850000,270,135,7,1200,1.3,48000,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777050540000 | seq= 88 | len=141 | 'Data: 1,3AKJHHDR1RSUX1166,99999,65,5700.000,45.000,9020.000,0.70,14.07,04/24/26,19:29:00,40.850000,-96.850000,270,135,7,1200,1.3,48000,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777050540000 | seq= 89 | len=141 | 'Data: 1,3AKJHHDR1RSUX1166,99999,65,5700.000,45.000,9020.000,0.70,14.07,04/24/26,19:33:00,40.850000,-96.850000,270,135,7,1200,1.3,48000,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060953936 | seq=255 | len=20 | '85.012405,0,0,9,545'
pt30_raw_ble_fragments_active.jsonl | ts=1777060953939 | seq=  0 | len=17 | ',0.9,12032,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060954955 | seq=  1 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060954959 | seq=  2 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060954962 | seq=  3 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060955003 | seq=  4 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060955016 | seq=  5 | len=20 | '0:02:34,35.986629,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060955020 | seq=  6 | len=20 | '85.012405,0,0,9,545'
pt30_raw_ble_fragments_active.jsonl | ts=1777060955024 | seq=  7 | len=17 | ',0.9,12033,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060956081 | seq=  8 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060956098 | seq=  9 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060956102 | seq= 10 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060956107 | seq= 11 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060956110 | seq= 12 | len=20 | '0:02:35,35.986629,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060956113 | seq= 13 | len=20 | '85.012405,0,0,9,545'
pt30_raw_ble_fragments_active.jsonl | ts=1777060956117 | seq= 14 | len=8 | ',0.9,12'
pt30_raw_ble_fragments_active.jsonl | ts=1777060956120 | seq= 15 | len=10 | '034,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060957107 | seq= 16 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060957112 | seq= 17 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060957116 | seq= 18 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060957119 | seq= 19 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060957123 | seq= 20 | len=20 | '0:02:36,35.986629,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060957127 | seq= 21 | len=20 | '85.012405,0,0,9,545'
pt30_raw_ble_fragments_active.jsonl | ts=1777060957131 | seq= 22 | len=17 | ',0.9,12035,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060958053 | seq= 23 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060958059 | seq= 24 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060958062 | seq= 25 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060958066 | seq= 26 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060958070 | seq= 27 | len=20 | '0:02:37,35.986629,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060958073 | seq= 28 | len=20 | '85.012405,0,0,9,545'
pt30_raw_ble_fragments_active.jsonl | ts=1777060958077 | seq= 29 | len=17 | ',0.9,12036,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959062 | seq= 30 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959065 | seq= 31 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959081 | seq= 32 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959084 | seq= 33 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959086 | seq= 34 | len=20 | '0:02:38,35.986629,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959089 | seq= 35 | len=20 | '85.012405,0,0,9,545'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959091 | seq= 36 | len=17 | ',0.9,12037,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959094 | seq= 37 | len=20 | 'Buffer: 0,30591,305'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959097 | seq= 38 | len=7 | '92,0\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960089 | seq= 39 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960094 | seq= 40 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960099 | seq= 41 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960102 | seq= 42 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960105 | seq= 43 | len=20 | '0:02:39,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960108 | seq= 44 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960112 | seq= 45 | len=19 | '45,0.9,12038,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961184 | seq= 46 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961188 | seq= 47 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961194 | seq= 48 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961197 | seq= 49 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961200 | seq= 50 | len=20 | '0:02:40,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961204 | seq= 51 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961208 | seq= 52 | len=19 | '45,0.9,12039,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962186 | seq= 53 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962189 | seq= 54 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962219 | seq= 55 | len=20 | '85,0.000,9023.45,0.'
